iter	Passed	Remaining
462	760	882
463	761	880
464	763	878
465	764	875
466	765	873
467	766	871
468	767	868
469	769	867
470	770	865
471	771	863
472	772	860
473	773	858
474	775	856
475	776	854
476	777	852
477	779	851
478	780	849
479	781	847
480	783	845
481	784	843
482	786	841
483	787	839
484	788	837
485	789	835
486	790	832
487	791	830
488	792	828
489	793	826
490	795	824
491	796	822
492	797	820
493	799	818
494	800	816
495	801	814
496	802	811
497	803	809
498	804	807
499	805	805
500	806	803
501	807	801
502	808	799
503	809	797
504	810	794
505	812	792
506	813	790
507	814	788
508	815	786
509	816	784
510	817	782
511	818	780
512	819	778
513	820	776
514	821	774
515	822	771
516	824	770
517	825	767
518	826	765
519	827	763
520	828	761
521	829	759
522	830	757
523	831	755
524	832	753
525	834	751
526	835	749
527	836	747
528	837	745
529	838	743
530	839	741
531	840	739
532	841	737
533	842	735
534	843	733
535	844	731
536	845	729
537	846	727
538	848	725
539	849	723
540	850	721
541	851	719
542	852	717
543	853	715
544	854	713
545	855	711
546	857	710
547	858	708
548	859	706
549	860	704
550	861	702
551	862	700
552	863	698
553	864	696
554	866	694
555	867	692
556	868	690
557	869	688
558	870	686
559	871	684
560	872	682
561	873	681
562	874	679
563	875	677
564	877	675
565	878	673
566	879	671
567	880	669
568	881	667
569	882	665
570	883	663
571	884	662
572	885	660
573	887	658
574	888	656
575	889	654
576	890	652
577	891	650
578	892	648
579	893	647
580	894	645
581	895	643
582	896	641
583	898	639
584	899	637
585	900	636
586	901	634
587	902	632
588	903	630
589	904	628
590	905	626
591	906	625
592	908	623
593	909	621
594	910	619
595	911	617
596	912	615
597	913	614
598	914	612
599	915	610
600	916	608
601	917	606
602	918	605
603	920	603
604	921	601
605	922	599
606	923	597
607	924	595
608	925	594
609	926	592
610	927	590
611	928	588
612	930	587
613	931	585
614	932	583
615	933	581
616	934	579
617	935	578
618	936	576
619	938	574
620	939	573
621	940	571
622	941	569
623	942	567
624	943	566
625	944	564
626	945	562
627	946	560
628	947	559
629	949	557
630	950	555
631	951	553
632	952	552
633	953	550
634	954	548
635	955	546
636	956	545
637	957	543
638	958	541
639	959	539
640	960	538
641	961	536
642	962	534
643	963	532
644	965	531
645	966	529
646	967	528
647	968	526
648	969	524
649	971	522
650	972	521
651	973	519
652	974	517
653	975	516
654	976	514
655	977	512
656	978	510
657	979	509
658	981	507
659	982	505
660	983	504
661	984	502
662	985	500
663	986	499
664	988	497
665	989	496
666	990	494
667	991	492
668	992	491
669	994	489
670	995	488
671	996	486
672	998	484
673	999	483
674	1000	481
675	1001	479
676	1002	478
677	1003	476
678	1004	474
679	1005	473
680	1006	471
681	1008	470
682	1009	468
683	1010	466
684	1011	465
685	1012	463
686	1013	461
687	1014	460
688	1015	458
689	1017	456
690	1018	455
691	1019	453
692	1020	451
693	1021	450
694	1022	448
695	1023	447
696	1024	445
697	1026	444
698	1027	442
699	1028	440
700	1029	439
701	1030	437
702	1031	435
703	1032	434
704	1033	432
705	1034	430
706	1036	429
707	1037	427
708	1038	426
709	1039	424
710	1040	423
711	1041	421
712	1042	419
713	1043	418
714	1045	416
715	1046	415
716	1047	413
717	1048	411
718	1049	410
719	1050	408
720	1051	407
721	1052	405
722	1053	403
723	1055	402
724	1056	400
725	1057	399
726	1058	397
727	1059	396
728	1061	394
729	1062	392
730	1063	391
731	1064	389
732	1065	388
733	1066	386
734	1067	385
735	1068	383
736	1070	381
737	1071	380
738	1072	378
739	1073	377
740	1074	375
741	1075	373
742	1076	372
743	1077	370
744	1078	369
745	1079	367
746	1080	366
747	1081	364
748	1082	362
749	1083	361
750	1085	359
751	1086	358
752	1087	356
753	1088	355
754	1089	353
755	1090	351
756	1091	350
757	1092	348
758	1093	347
759	1094	345
760	1095	344
761	1096	342
762	1098	341
763	1099	339
764	1100	337
765	1101	336
766	1102	334
767	1103	333
768	1104	331
769	1105	330
770	1106	328
771	1108	327
772	1109	325
773	1110	324
774	1111	322
775	1112	321
776	1113	319
777	1114	318
778	1116	316
779	1117	315
780	1118	313
781	1119	312
782	1120	310
783	1121	308
784	1122	307
785	1123	305
786	1124	304
787	1125	302
788	1126	301
789	1127	299
790	1129	298
791	1130	296
792	1131	295
793	1132	293
794	1133	292
795	1134	290
796	1135	289
797	1137	287
798	1138	286
799	1139	284
800	1140	283
801	1142	281
802	1143	280
803	1145	279
804	1146	277
805	1147	276
806	1148	274
807	1150	273
808	1151	271
809	1152	270
810	1154	268
811	1155	267
812	1156	266
813	1158	264
814	1159	263
815	1160	261
816	1161	260
817	1162	258
818	1163	257
819	1165	255
820	1166	254
821	1167	252
822	1168	251
823	1169	249
824	1170	248
825	1171	246
826	1172	245
827	1173	243
828	1175	242
829	1176	240
830	1177	239
831	1178	237
832	1179	236
833	1180	234
834	1181	233
835	1182	232
836	1183	230
837	1185	229
838	1186	227
839	1187	226
840	1188	224
841	1189	223
842	1190	221
843	1191	220
844	1192	218
845	1193	217
846	1194	215
847	1195	214
848	1196	212
849	1198	211
850	1199	209
851	1200	208
852	1201	207
853	1202	205
854	1203	204
855	1204	202
856	1205	201
857	1206	199
858	1207	198
859	1208	196
860	1209	195
861	1210	193
862	1211	192
863	1213	190
864	1214	189
865	1215	188
866	1216	186
867	1217	185
868	1218	183
869	1219	182
870	1220	180
871	1221	179
872	1223	177
873	1224	176
874	1225	175
875	1226	173
876	1227	172
877	1228	170
878	1229	169
879	1230	167
880	1231	166
881	1233	164
882	1234	163
883	1235	162
884	1236	160
885	1237	159
886	1238	157
887	1239	156
888	1240	154
889	1241	153
890	1242	152
891	1244	150
892	1245	149
893	1246	147
894	1247	146
895	1248	144
896	1249	143
897	1250	142
898	1251	140
899	1252	139
900	1254	137
901	1255	136
902	1256	134
903	1257	133
904	1258	132
905	1259	130
906	1260	129
